alpha0,alpha1,alpha2,alpha3,Cx0Mean,Cy0Mean,Cm0Mean, Cx1Mean,Cy1Mean,Cm1Mean, Cx2Mean,Cy2Mean,Cm2Mean, Cx3Mean,Cy3Mean,Cm3Mean,Flag,,,SumCx,SumCy
3,-8,-6,-20,2.01441,1.245941,-0.37257,1.480037,1.182476,-0.266114,2.269415,2.077899,-0.519658,1.687141,2.015675,-0.367036,NOTCONVERGED,,,7.451003,6.521991
5,-8,-6,-20,1.87796,1.157963,-0.366147,1.492336,1.199743,-0.271017,2.271991,2.066378,-0.516412,1.603625,1.935454,-0.353695,NOTCONVERGED,,,7.245912,6.359538
-5,-6,-6,-20,0.760041,0.797288,-0.269948,1.461027,1.257185,-0.307445,2.503084,2.15093,-0.516372,0.767001,1.328652,-0.366851,NOTCONVERGED,,,5.491153,5.534055
-3,-6,-6,-20,0.844827,0.790912,-0.261168,1.450807,1.249725,-0.305949,2.413809,2.094656,-0.508358,0.774562,1.333024,-0.36553,NOTCONVERGED,,,5.484005,5.468317
-1,-6,-6,-20,2.1993,1.383732,-0.372344,1.412278,1.123885,-0.26563,2.244497,2.079799,-0.520997,1.705975,2.033039,-0.370729,NOTCONVERGED,,,7.56205,6.620455
1,-6,-6,-20,2.09607,1.314168,-0.37222,1.414093,1.141358,-0.271748,2.232807,2.061627,-0.516087,1.572042,1.908057,-0.350033,NOTCONVERGED,,,7.315012,6.42521
3,-6,-6,-20,1.974148,1.232568,-0.368199,1.418528,1.15337,-0.275565,2.234825,2.050925,-0.513037,1.480353,1.818709,-0.337626,NOTCONVERGED,,,7.107854,6.255572
5,-6,-6,-20,1.825911,1.138873,-0.359808,1.412998,1.173441,-0.282906,2.229231,2.031666,-0.507774,1.258334,1.619979,-0.322093,NOTCONVERGED,,,6.726474,5.963959
-5,-4,-6,-20,0.75488,0.792266,-0.267873,1.360089,1.16707,-0.300708,2.487991,2.139025,-0.513732,0.760113,1.325369,-0.369425,NOTCONVERGED,,,5.363073,5.42373
-3,-4,-6,-20,0.851595,0.790686,-0.259126,1.348407,1.158613,-0.298763,2.393623,2.080133,-0.505412,0.769203,1.330714,-0.368177,NOTCONVERGED,,,5.362828,5.360146
